*mujica02;71;112;24;135
*ano0000;10831;6855;5777;11664
*mujica03;8;49;7;24
*mujica04;11;74;0;17
*mujica05;327;274;253;278
*mujica06;180;166;48;157
*mujica07;153;94;34;78
*mujica08;181;162;28;110
*mujica09;115;144;17;136
*mujica12;24;13;11;25
*mujica13;83;64;33;54
*mujica14;143;77;112;68
*mujica15;99;70;49;293
*mujica16;16;7;13;86
*mujica17;66;62;7;53
*mujica18;65;103;18;260
*mujica19;128;92;38;99
*mujica20;127;127;61;166
*mujica21;103;77;16;59
*mujica22;261;172;69;271
*mujica23;210;162;83;343
*mujica24;127;123;52;178
*mujica25;172;75;71;81
*mujica26;115;45;10;46
*mujica27;85;50;77;131
*mujica28;87;79;78;253
*mujica29;94;155;56;158
*mujica30;70;73;7;79
*mujica31;76;45;46;45
*mujica32;100;43;34;53
*mujica33;137;57;74;138
*mujica35;133;41;25;45
*mujica36;33;65;6;79
*mujica37;88;54;69;120
*mujica38;28;23;13;136
*mujica39;123;18;233;80
*mujica40;39;40;26;60
*mujica41;98;100;13;139
*mujica42;48;18;136;102
*mujica43;82;21;64;102
*mujica44;79;35;104;141
*mujica45;104;19;59;80
*mujica46;77;45;33;67
*mujica47;217;52;347;241
*mujica48;170;57;145;190
*mujica49;71;40;50;110
*mujica50;95;115;6;54
*mujica51;122;30;61;119
*mujica52;60;69;34;141
*mujica54;147;36;122;108
*mujica55;96;37;30;41
*mujica56;139;20;51;48
*mujica57;126;68;6;13
*mujica58;102;75;24;108
*mujica59;54;38;31;70
*mujica60;41;77;5;15
*mujica61;109;72;102;656
*mujica62;81;45;43;148
*mujica63;139;78;101;236
*mujica64;99;73;21;45
*mujica65;176;200;41;92
*mujica66;82;11;15;14
*mujica67;75;36;63;79
*mujica68;124;51;26;32
*mujica69;128;93;60;156
*mujica70;118;84;30;84
*mujica71;80;126;83;484
*mujica72;178;49;73;94
*mujica73;90;49;20;41
*mujica74;162;92;37;70
*mujica75;72;12;133;71
*mujica76;104;30;203;124
*mujica77;89;34;50;35
*mujica78;88;37;35;69
*mujica79;81;17;63;75
*mujica80;153;95;99;182
*mujica81;84;56;34;48
*mujica82;112;42;37;112
*mujica83;56;39;73;419
*mujica84;121;43;26;37
*mujica85;103;27;54;41
*mujica86;231;55;149;165
*mujica87;67;62;20;61
*mujica88;112;52;42;106
*mujica90;71;17;137;130
*mujica91;53;28;18;28
*mujica92;56;35;85;52
*mujica93;236;169;83;291
*mujica94;97;66;33;120
*mujica95;53;63;2;16
*mujica96;56;49;6;45
*mujica97;191;128;36;62
*mujica98;81;89;51;127
*mujica99;131;82;70;115
*mujica100;107;86;35;89
*mujica101;113;16;114;72
*mujica102;212;124;32;80
*mujica103;67;24;12;40
*mujica104;206;123;61;115
*mujica105;181;57;150;223